id;name;total;ready;working;can_not
1;input Balanced Rubber;reboot Sports;Rufiyaa;Namibia Handmade Table;payment Baht
2;local Refined programming;Integration Engineer quantifying;Account system 路;hacking;Loan
3;cross-platform silver;invoice;responsive;EXE content-based invoice;Creative Focused
4;Movies payment;東路 architectures;THX Steel 南路;overriding 南路 Japan;Investment Designer
5;orchestrate extranet 路;invoice enable Soap;Buckinghamshire;Clothing generate;compress cross-platform
6;FTP;Ball pixel e-services;PCI vertical Avon;Avon Towels;ADP mesh quantifying
7;Account 台灣省 街;Self-enabling;Frozen Granite killer;Peso Garden;circuit
8;indigo Rwanda expedite;Euro Loan Loan;azure Ergonomic Analyst;Concrete South;rich
9;one-to-one connect;Jewelery open-source;Handcrafted;Account;calculating orchestrate
10;北路 Cheese Plastic;Factors;paradigms Chicken 台灣省;JSON firmware;bus
